Post ID,Permalink,Post Message,Type,Posted,reach,comment,like,share,幫別人宣傳,心情,商品,活動,社會福利、弱勢,剩食,最近議題,街賣者,街友
509931262445814_706044769501128,https://www.facebook.com/Do.you.a.flavor/posts/706044769501128,"【 以立國際服務 Helene, 謝謝妳！】很高興以立的 Helene 帶著我們這群小朋友，前往香港拜訪這位「惜食堂」的創辦人 Gigi 。在香港遭逢颱風侵襲的午後， Gigi 仍在辦公室解答我們的種種提問：「在需要大量志工投入的供餐流程中，如何保持與志工良好的關係，以及做到共同進步的要求？」「惜食堂每天收到 4 噸的各式食品，是如何說服企業把這些剩食捐出來的呢？其中食品安全與品質的責任歸屬問題，以及是否提供企業什麼誘因？」不愧是 2011 年成立至今已經製作超過 171萬份愛心餐盒、使超過 136 萬公斤的食物重生的 NGO ，惜食堂的種種營運心法與操作方式，都值得我們仔細反思和學習。謝謝所有一路上讓我們變得更好的所有人 ：）-----------------------------------------------------------------除了去教育部，也不妨來這裡聊聊天：http://doyouaflavor.tw/#vendors或者你可以在這裡尋找適合午後的台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor#人生百味 #dyaf #街賣 #人生柑仔店 #石頭湯-----------------------------------------------------------------http://doyouaflavor.blogspot.tw/2015/07/blog-post_30.html",Link,8/4/1512:00上午,2077,2,58,,以立國際服務、惜食堂,,,,,1,,,
509931262445814_707099862728952,https://www.facebook.com/Do.you.a.flavor/posts/707099862728952:0,人生百味,Photo,8/4/1512:00上午,977,,,,,1,,,,,,,
509931262445814_707058662733072,https://www.facebook.com/Do.you.a.flavor/posts/707058662733072,【 週末的台北車站，一些生與死 】by.剛勇「他叫我們乾脆去自殺。」 上週在台北街頭見證了不少生與死的交鋒對話，順手整理成幾則簡單小段落。記錄死去與尚未死去，此刻的我們。 「最沈重的負擔，同時也是最激越的生命實現的形象。負擔越沈重，我們的生命就越貼近地面，生命就越寫實與真實」 —《生命不能承受之輕》-----------------------------------------1.「他叫我們乾脆去自殺。」我露出詫異表情，大叔發現背後一陣沈默後，暫停手邊整理行李的動作，轉過頭來「真的啊，我沒騙你。」「可是他們只要維持秩序就好，為什麼需要講這種話...」兩個大叔合力將捆綁在一起的行李箱卸下，盥洗用具、紙箱、報紙，只要能度過這個夜晚，又能來到明天。這是很簡單的道理吧，但此時此地怎麼想都不太容易。「妳唸哪間學校？」畢業了啦，以前讀高師大「高師的女生很漂亮耶，以前都會追你們學校的女生（另個大叔附和：他唸高醫的啦），我老婆也是高師大的。」那她現在去哪裡了呢，是生是死，怎麼從來只看過大叔你一個人睡在台北車站。當然最後還是問不出口。,Link,8/3/1512:00上午,6410,4,186,10,,1,,,,,,,
509931262445814_706682819437323,https://www.facebook.com/Do.you.a.flavor/posts/706682819437323,【 碎掉的花生糖，不假外求 】上週剛包裝完新進的自然會小小花生糖。是的，花生糖也出小包裝囉。未來不僅街賣者攜貨更方便，路邊嚐鮮也輕鬆多了，隨手一包買了放在包包裡，想到時就能拿出來分享（雖然好吃到讓人只想躲在廁所一個人偷偷嗑完）碎掉的花生糖屑，灑在冰淇淋上立刻成為法式焦糖花生佐冰奶霜，放在美麗小盤上，還可以多假掰？百味實習生馬上示範給你看。-----------------------------------------------------------------好食機X祥美餅舖X人生百味 自然會好棒棒花生糖簡介：http://doyouaflavor.blogspot.tw/2015/05/2.html這麼好的產品當然就是要找街賣者買啊：http://doyouaflavor.tw/#vendors或者你可以在這裡尋找適合午後的台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor-----------------------------------------------------------------#人生百味 #dyaf #街賣 #人生柑仔店 #老闆再來一包#屑屑也別放過 #屑屑指教,Photo,8/3/1512:00上午,1735,,54,,,,1,,,,,,
509931262445814_706049739500631,https://www.facebook.com/Do.you.a.flavor/posts/706049739500631,「 好食機 」是長期給予我們各種協助與指導的青年團隊，是由一群重視食物正義的人建立一個「農食整合平台」，企圖連結、整合「農」與「食」之間的橋樑：例如，消費者應該了解飲食產品的生產、加工、銷售的整個過程。很開心嶄新的街賣計劃，在起始之際就得到好食機的支持，並讓我們推出「自然會花生」這款吃了齒頰留香的安心食品：- 採用雲林耕心農場不施肥料、不用化學藥劑的花生作為原料；- 搭配南化手工製作、不添加其他原料、通過 SGS 檢驗無農藥殘留的黑糖、- 日本 Hayashibara 原裝進口的純海藻糖、- 北港傳發老舖全程手工製作的麥芽、- 得意的一天青春三元素 100％ 葵花油、- 成品更通過德國杜夫萊茵檢驗，無黃麴毒素。讓妳/你在吃得安心的同時，也支持了在地堅持友善耕種的農民朋友，以及努力創造嶄新消費習慣與市場的好食機與人生百味。-----------------------------------------------------------------這麼好的產品當然就是要找街賣者買啊：http://doyouaflavor.tw/#vendors或者你可以在這裡尋找適合午後的台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor#人生百味 #dyaf #街賣 #人生柑仔店 #石頭湯-----------------------------------------------------------------http://doyouaflavor.blogspot.tw/2015/05/2.html,Link,8/2/1512:00上午,1253,,46,1,,,1,,,,,,
509931262445814_706466229458982,https://www.facebook.com/Do.you.a.flavor/posts/706466229458982,"【聽說是剛勇特輯】 by 小寶一定有許多朋友還不知道,是的~人生百味又搬家了XD(到底還要繼續漂泊幾回呢?!)但因為已喜歡上大稻埕的人文.環境(美食是重點)所以新工作室只距離舊址幾條街不遠處(一樣歡迎來玩~)新址:迪化街一段292號3樓,近捷運 大橋頭站電話:02-25539975ps.如果妳都還沒來看過工作室或想念它的話沒關係~至少影片一直都在-------------------------------------------------------7/31早班結束後衝去大稻埕想見工作室最後一面到達時只見大門深鎖人去樓空的空屋打給阿德,他說鑰匙已歸還 我們無法再進入那空間了拿起相機隔著玻璃,在門外 看著窗戶灑入漸暗的光線想為這空間留下最後的身影,明天過後再回來將會是完全不一樣的心情,也才發現我從未為一樓的'人生百味'燈箱招牌拍過照(如果可以我想將其拆下帶走)當初進駐時即是抱著將離開的心情在裝潢整理但還是盡情把我們喜歡的細節與風格置入因為這是我們第一個屬於自己的全空間 只是沒想到這一天來得如此快站在門口往裡望,對比半年前初次見到這空間一樣的位置 幫它拍下了第一張照片眼前空蕩的房間出現了電影般的回憶特效有許多好朋友的幫忙出力才有這溫暖空間在此也募集了許多石頭湯的食材 認識新朋友街賣計劃的系列商品也在美麗的木展架上展示與被購買每個拜三開了無數次的會議,產出新想法與計劃修正也不驚喜的慶祝了3個夥伴的生日(可惜來不及湊滿5點~)可能也發生了幾次爭吵(都沒遇到好可惜....想錄)幻遊回神後 天色已暗到無法繼續拍攝向它說聲掰掰 前往新工作室落腳處 見許久未見的夥伴film by 薛席德music by 大象體操 Elephant Gym人生百味 網站 http://doyouaflavor.tw/點亮街頭的街賣計劃 http://iseeyou.com.tw/org/org_goods.php?o=144#人生百味 #街賣 #dyaf #石頭湯 #人生柑仔店 https://www.youtube.com/watch?v=4Yqr9_InNc0",Link,8/2/1512:00上午,3370,4,74,7,,,,1,,,,,
509931262445814_706421896130082,https://www.facebook.com/Do.you.a.flavor/posts/706421896130082:0,【百味喬遷公告】大家好我們工作室搬家囉！地址:迪化街一段292號3樓(也算是搬到迪化街上了)電話:02-25539975，歡迎來拍打餵食，附近有大橋頭捷運站。PS一樓是農業資材行，按旁邊鐵門的電鈴我們就會幫你開門囉。,Photo,8/2/1512:00上午,3154,2,176,2,,1,,,,,,,
509931262445814_705987952840143,https://www.facebook.com/Do.you.a.flavor/posts/705987952840143,【8/4(二)晚上，買菜學堂分享】by 阿德成功真的是言重了(笑)，反正就是一次全力以赴的嘗試。在高中時，在學校前都會有一位賣口香糖的歐巴桑，那時候我覺得他很可憐，就想說跟他買一條，一條20元，在我高三的時候我蠻喜歡吃麥當勞的早餐，對一個月生活費4000元的我來說，吃麥當勞是有點奢侈的，某一天早上我走進店排隊，排在一個歐巴桑的後面，我覺得有些眼熟，忽然發現，哦，這不是常常在門口賣口香糖的歐巴桑嗎? 從那天之後，我就很少很少跟她買東西了。高中畢業，上了大學，大學畢業，上了研究所，研究所畢業，開始工作，在台北的街頭上看到在賣口香糖、玉蘭花的人，我經常會想起這個故事，而最後都是浮現一個問題:「為什麼歐巴桑不能吃麥當勞?」，而我也辭職想開始尋找這個答案。這不是一次演講，這是一次聊天，只是我準備的多一點，你準備的少一點，就放輕鬆來聊聊吧，聊聊創業，聊聊社會，聊聊是什麼樣的價值觀支持著我們。活動地點:台北市大安區雲和街122號開始時間:2015-08-04 19:00-21:00,Link,8/1/1512:00上午,1789,,31,4,,1,,,,,,,
509931262445814_706315072807431,https://www.facebook.com/Do.you.a.flavor/posts/706315072807431,直擊！！萬華第一帥姐使用人生百味商品進香祈福XD來自土地的好食物，相信土地公爺爺也會很喜歡的。感謝從認識以來好管家對人生百味這些小輩的照顧，好管家是由一群喜愛萬華的萬華人組成：不論生在何地，心中有萬華，就是萬華人。以貴陽街為起點，分享艋舺之美與活力。下次在萬華看到有吃有玩還有梗的活動，一定有好管家無誤XD拜拜用百味，事事都順遂的嶄新街賣：http://iseeyou.com.tw/mystore/?o=144#好管家 #貴陽街 #台北第一街 #拜拜用百味 #事事都順遂,Photo,8/1/1512:00上午,1033,2,28,,1,,,,,,,,
509931262445814_705640229541582,https://www.facebook.com/Do.you.a.flavor/posts/705640229541582,【人生百味 X 好食機 ：講座來囉！ 】感謝前輩好食機的邀請，人生百味小團將在下週二到雲和街舉辦分享，聊聊計畫、聊聊人生柑仔店，還沒成功的夢想，需要大家一起幫忙XD-----------------------------------［免費講座］在街頭，跟街友，也可以買到好食物！？ㄧ年多前認識人生百味時，超傾慕他們的熱情與創意。建立阿公阿媽回收網路地圖、蒐集家中未過期的剩食，一起煮成「石頭湯」，分發給街友。當時他們提出了仿效big issue 雜誌模式，讓街友販售農產品互惠收入的方式，但（觀念老舊）的我們覺得困難重重，不容易讓消費者接受。如今證明，我們真的太古板啦！人生百味團隊已經成功與街友合作販售好零嘴好茶包，也有龐大粉絲群支持，快來聽他們的故事喔！講座時間：8/04 PM7:00-9:00講座地點：好食機 台北市雲和街122號,Link,7/31/1512:00上午,1216,,17,,1,,,,,,,,
